Year,GMSL_noGIA,GMSL_GIA,South_Extent,North_Extent
1993,-34.6054054054054,-34.483783783783785,11.419939726027398,11.92305205479452
1994,-30.95108108108108,-30.58432432432432,11.773969863013708,12.011317808219184
1995,-28.645945945945954,-28.019459459459462,11.794756164383557,11.415109589041096
1996,-26.59638888888888,-25.744166666666665,11.769128415300555,11.840786885245905
1997,-22.68243243243243,-21.59108108108108,11.390052054794522,11.667613698630138
1998,-25.060540540540536,-23.726486486486483,11.73837260273972,11.75738082191781
1999,-21.812432432432434,-20.228648648648644,11.760682191780825,11.691465753424655
2000,-18.425405405405407,-16.59756756756757,11.747226775956285,11.508174863387978
2001,-13.21918918918919,-11.145405405405405,11.672624657534241,11.600016438356166
2002,-9.37277777777778,-7.059722222222223,11.221608219178083,11.362865753424662
2003,-6.318108108108109,-3.7635135135135145,11.969287671232879,11.397221917808208
2004,-4.425135135135133,-1.6235135135135137,11.961497267759562,11.240434426229513
2005,-0.030810810810811114,3.015405405405405,11.694879452054797,10.906975342465747
2006,1.091666666666667,4.3725,11.460912328767119,10.772613698630131
2007,1.487837837837838,5.022432432432433,11.687106849315061,10.474095890410963
2008,3.5491666666666664,7.328888888888888,12.239407103825139,10.977846994535522
2009,8.41135135135135,12.431351351351354,12.048591780821917,10.931969863013702
2010,9.39135135135135,13.653513513513515,12.106791780821924,10.711391780821916
2011,8.429729729729727,12.935945945945944,11.500572602739734,10.483495890410957
2012,19.255675675675676,24.00297297297297,12.004437158469953,10.406098360655747
2013,21.304054054054056,26.298648648648648,12.523605479452057,10.89711506849315
2014,24.850833333333338,30.078333333333337,12.776126027397257,10.790495890410952
2015,35.42135135135136,40.89675675675675,12.414101369863019,10.565816438356164
